Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,CapCategory,InvestmentRecommendation,AssetAllocation
ACLX,Arcellx ,$67.01,-0.5,-0.741%,3623543637.0,United States,2022.0,735726,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ACM,AECOM ,$107.85,-1.4,-1.281%,14286210476.0,United States,2007.0,1122239,Consumer Discretionary,Military/Government/Technical,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
ACMR,ACM Research,$17.68,-0.21,-1.174%,1107260335.0,United States,2017.0,1220670,Technology,Industrial Machinery/Components,Small-cap,"High Risk, High Potential Return",Equity – Agg
ACN,Accenture plc,$350.56,0.83,0.237%,219376132957.0,Ireland,2001.0,2024881,Consumer Discretionary,Business Services,Mega-cap,"Lowest Risk, Strong Stable Returns",Equity – Mod
ACNB,ACNB Corporation,$38.69,-0.04,-0.103%,330746301.0,United States,,61650,Finance,Major Banks,Small-cap,"High Risk, High Potential Return",Equity – Agg
ACNT,Ascent Industries,$11.15,-0.02,-0.179%,112536571.0,United States,,16833,Industrials,Steel/Iron Ore,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ACOG,Alpha Cognition,$5.95,-0.1,-1.653%,92411128.0,Canada,,68384,,,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ACON,Aclarion ,$0.045,0.0025,5.882%,469402.0,United States,2022.0,267502003,Health Care,Medical Specialities,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ACONW,Aclarion ,$0.035,0.0,0.00%,365091.0,United States,2022.0,16424,Health Care,Medical Specialities,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ACP,abrdn Income,$6.10,0.03,0.494%,0.0,United States,2011.0,1002976,Finance,Investment Managers,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ACP^A,abrdn Income,$21.85,0.04,0.183%,,United States,,1704,,,Mega-cap,"Lowest Risk, Strong Stable Returns",Equity – Mod
ACR,ACRES Commercial,$17.70,0.39,2.253%,136943254.0,United States,,14049,Real Estate,Real Estate Investment Trusts,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ACR^C,ACRES Commercial,$24.71,0.07,0.284%,,United States,,18682,,,Mega-cap,"Lowest Risk, Strong Stable Returns",Equity – Mod
ACR^D,ACRES Commercial,$22.27,-0.09,-0.403%,,United States,,3853,,,Mega-cap,"Lowest Risk, Strong Stable Returns",Equity – Mod
ACRE,Ares Commercial,$5.81,0.14,2.469%,316890054.0,United States,2012.0,383484,Real Estate,Real Estate Investment Trusts,Small-cap,"High Risk, High Potential Return",Equity – Agg
ACRS,Aclaris Therapeutics,$2.51,0.0,0.00%,179291664.0,United States,2015.0,378510,Health Care,Biotechnology: Pharmaceutical Preparations,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ACRV,Acrivon Therapeutics,$5.55,0.01,0.181%,172806443.0,United States,2022.0,43244,Health Care,Biotechnology: Pharmaceutical Preparations,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ACT,Enact Holdings,$32.52,0.32,0.994%,4994722865.0,United States,2021.0,565011,Finance,Specialty Insurers,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ACTG,Acacia Research,$4.37,0.0,0.00%,425498881.0,United States,,120664,Miscellaneous,Multi-Sector Companies,Small-cap,"High Risk, High Potential Return",Equity – Agg
ACTU,Actuate Therapeutics,$8.55,0.07,0.825%,166995488.0,United States,2024.0,33467,Health Care,Biotechnology: Pharmaceutical Preparations,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ACU,Acme United,$36.58,0.08,0.219%,136862351.0,United States,1988.0,6329,Consumer Discretionary,Industrial Machinery/Components,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ACV,Virtus Diversified,$22.27,0.01,0.045%,230782986.0,United States,2015.0,16747,Finance,Finance/Investors Services,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ACVA,ACV Auctions,$21.37,0.11,0.517%,3582466009.0,United States,2021.0,1422671,Consumer Discretionary,Business Services,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ACXP,Acurx Pharmaceuticals,$0.787,0.0671,9.321%,13294435.0,United States,2021.0,331271,Health Care,Biotechnology: Pharmaceutical Preparations,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ADAG,Adagene ,$1.84,-0.005,-0.271%,81174675.0,China,2021.0,2642,Health Care,Biotechnology: Pharmaceutical Preparations,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ADAP,Adaptimmune Therapeutics,$0.59,-0.0172,-2.833%,150971092.0,United Kingdom,2015.0,727310,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ADBE,Adobe ,$426.93,9.65,2.313%,185842629000.0,United States,1986.0,4181843,Technology,Computer Software: Prepackaged Software,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
ADC,Agree Realty,$72.15,1.44,2.036%,7469161146.0,United States,,779785,Real Estate,Real Estate Investment Trusts,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ADC^A,Agree Realty,$17.70,0.01,0.057%,,United States,,63913,,,Mega-cap,"Lowest Risk, Strong Stable Returns",Equity – Mod
ADCT,ADC Therapeutics,$1.75,-0.03,-1.685%,169206830.0,Switzerland,2020.0,380961,Health Care,Biotechnology: Pharmaceutical Preparations,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ADD,Color Star,$1.75,-0.03,-1.685%,1075615.0,United States,,421604,Consumer Discretionary,Engineering & Construction,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ADEA,Adeia ,$12.76,-0.15,-1.162%,1394220596.0,United States,2003.0,402805,Technology,Computer Software: Prepackaged Software,Small-cap,"High Risk, High Potential Return",Equity – Agg
ADGM,Adagio Medical,$0.8229,-0.0203,-2.407%,11960963.0,United States,,308334,Health Care,Medical/Dental Instruments,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ADI,Analog Devices,$215.02,-3.2,-1.466%,106713749547.0,United States,,3116002,Technology,Semiconductors,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
ADIL,Adial Pharmaceuticals,$1.04,0.02,1.961%,6662012.0,United States,2018.0,54068,Health Care,Biotechnology: Pharmaceutical Preparations,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ADM,Archer-Daniels-Midland Company,$51.01,-0.13,-0.254%,24409994855.0,United States,,2051236,Consumer Staples,Packaged Foods,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
ADMA,ADMA Biologics,$16.63,-0.08,-0.479%,3931169907.0,United States,,1928488,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ADN,Advent Technologies,$6.69,0.37,5.854%,17638239.0,United States,2018.0,11594,Miscellaneous,Industrial Machinery/Components,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ADNT,Adient plc,$17.13,-0.36,-2.058%,1453767650.0,United States,2016.0,1089933,Consumer Discretionary,Auto Parts:O.E.M.,Small-cap,"High Risk, High Potential Return",Equity – Agg
ADNWW,Advent Technologies,$0.0192,-0.0037,-16.157%,50621.0,United States,2018.0,59495,Miscellaneous,Industrial Machinery/Components,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ADP,Automatic Data,$296.23,2.86,0.975%,120700957783.0,United States,,1667520,Technology,EDP Services,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
ADPT,Adaptive Biotechnologies,$6.92,-0.24,-3.352%,1021250043.0,United States,2019.0,1659351,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Small-cap,"High Risk, High Potential Return",Equity – Agg
ADSE,ADS-TEC ENERGY,$15.06,-0.02,-0.133%,761806531.0,Ireland,,164274,Consumer Discretionary,Industrial Specialties,Small-cap,"High Risk, High Potential Return",Equity – Agg
ADSEW,ADS-TEC ENERGY,$3.80,-0.25,-6.173%,192222099.0,Ireland,,20942,Consumer Discretionary,Industrial Specialties,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ADSK,Autodesk ,$290.08,-0.86,-0.296%,62367200000.0,United States,,1077278,Technology,Computer Software: Prepackaged Software,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
ADT,ADT ,$7.22,0.0,0.00%,6548636705.0,United States,2018.0,3802303,Consumer Discretionary,Diversified Commercial Services,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ADTN,ADTRAN Holdings,$10.13,0.0,0.00%,802791782.0,United States,1994.0,868471,Utilities,Telecommunications Equipment,Small-cap,"High Risk, High Potential Return",Equity – Agg
ADTX,Aditxt ,$0.1376,0.0066,5.038%,1958627.0,United States,2020.0,283055307,Health Care,Biotechnology: Pharmaceutical Preparations,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ADUR,Aduro Clean,$5.33,-0.1,-1.842%,151574455.0,Canada,,54178,,,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ADUS,Addus HomeCare,$133.325,2.055,1.565%,2417597557.0,United States,2009.0,121651,Health Care,Medical/Nursing Services,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
ADV,Advantage Solutions,$2.43,0.05,2.101%,779431610.0,United States,2019.0,599231,Consumer Discretionary,Business Services,Small-cap,"High Risk, High Potential Return",Equity – Agg
ADVM,Adverum Biotechnologies,$4.29,-0.37,-7.94%,89242566.0,United States,2014.0,176179,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ADVWW,Advantage Solutions,$0.0178,0.0031,21.088%,5709417.0,United States,2019.0,137971,Consumer Discretionary,Business Services,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ADX,Adams Diversified,$20.70,0.08,0.388%,0.0,United States,,261583,Finance,Investment Managers,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
ADXN,Addex Therapeutics,$7.95,0.2,2.581%,8294195.0,Switzerland,,45462,Health Care,Biotechnology: Pharmaceutical Preparations,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AE,Adams Resources,$37.50,0.14,0.375%,96670200.0,United States,1980.0,5613,Energy,Oil Refining/Marketing,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AEE,Ameren Corporation,$93.86,2.74,3.007%,25053840211.0,United States,,1142522,Utilities,Power Generation,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
AEF,abrdn Emerging,$5.14,0.01,0.195%,551843250.0,United States,,600635,Finance,Finance/Investors Services,Small-cap,"High Risk, High Potential Return",Equity – Agg
AEFC,Aegon Funding,$20.88,0.36,1.754%,0.0,United States,2019.0,40383,,,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AEG,Aegon Ltd.,$6.31,0.06,0.96%,13910307619.0,Netherlands,,6064438,Finance,Life Insurance,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
AEHL,Antelope Enterprise,$0.157,-0.0111,-6.603%,1392687.0,China,,3585201,Industrials,Building Materials,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AEHR,Aehr Test,$12.17,-0.77,-5.951%,361592655.0,United States,1997.0,1242382,Industrials,Electrical Products,Small-cap,"High Risk, High Potential Return",Equity – Agg
AEI,Alset ,$0.8499,-0.0302,-3.431%,7848928.0,United States,2020.0,81751,Finance,Real Estate,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AEIS,Advanced Energy,$119.66,-1.47,-1.214%,4507959197.0,United States,1995.0,242805,Technology,Industrial Machinery/Components,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
AEM,Agnico Eagle,$84.18,-0.16,-0.19%,42250570067.0,Canada,,1347504,Basic Materials,Precious Metals,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
AEMD,Aethlon Medical,$0.7145,0.0271,3.942%,9975848.0,United States,,1553700,Health Care,Medical/Dental Instruments,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AENT,Alliance Entertainment,$5.94,0.44,8.00%,302686778.0,United States,,107881,Consumer Discretionary,Durable Goods,Small-cap,"High Risk, High Potential Return",Equity – Agg
AENTW,Alliance Entertainment,$0.3525,0.0225,6.818%,17962473.0,United States,,5766,Consumer Discretionary,Durable Goods,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AEO,American Eagle,$15.58,-0.53,-3.29%,2992945779.0,United States,,5559858,Consumer Discretionary,Clothing/Shoe/Accessory Stores,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
AEON,AEON Biopharma,$0.1709,0.0613,55.931%,6830991.0,United States,,667462575,Health Care,Biotechnology: Pharmaceutical Preparations,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AEP,American Electric,$96.82,1.7,1.787%,51562975735.0,United States,,2456526,Utilities,Electric Utilities: Central,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
AER,AerCap Holdings,$95.81,-0.94,-0.972%,19400870426.0,Netherlands,2006.0,733416,Consumer Discretionary,Diversified Commercial Services,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
AERT,Aeries Technology,$0.8375,0.0065,0.782%,37269108.0,United States,2021.0,29337,Consumer Discretionary,Professional Services,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AERTW,Aeries Technology,$0.022,-0.0031,-12.351%,979009.0,United States,2021.0,9598,Consumer Discretionary,Professional Services,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AES,The AES,$12.00,0.23,1.954%,8532324516.0,United States,,14560523,Utilities,Electric Utilities: Central,Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
AESI,Atlas Energy,$24.63,0.7,2.925%,2714640671.0,United States,2023.0,1459391,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),Mid-cap,"Moderate Risk, Good Growth Potential",Equity – Mod
AEVA,Aeva Technologies,$4.39,-0.05,-1.126%,236545496.0,United States,2020.0,292705,Consumer Discretionary,Auto Parts:O.E.M.,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AEYE,AudioEye ,$16.05,-0.17,-1.048%,195458987.0,United States,,203431,Technology,Computer Software: Prepackaged Software,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AFB,AllianceBernstein National,$10.99,0.15,1.384%,0.0,United States,2002.0,83666,Finance,Trusts Except Educational Religious and Charitable,Nano-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AFBI,Affinity Bancshares,$18.49,0.49,2.722%,118565831.0,United States,2017.0,17319,Finance,Banks,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AFCG,Advanced Flower,$8.44,0.04,0.476%,185280594.0,United States,2021.0,98440,Finance,Real Estate,Micro-cap,"Very High Risk, Potential for High Returns",Equity – Agg
AFG,American Financial,$137.75,1.8,1.324%,11561530652.0,United States,,215905,Finance,Property-Casualty Insurers,Large-cap,"Lower Risk, Stable Returns",Equity – Mod
AFGB,American Financial,$22.78,0.16,0.707%,1911954034.0,United States,2019.0,15697,Finance,Property-Casualty Insurers,Small-cap,"High Risk, High Potential Return",Equity – Agg
AFGC,American Financial,$20.14,0.06,0.299%,1690375516.0,United States,2019.0,9120,Finance,Property-Casualty Insurers,Small-cap,"High Risk, High Potential Return",Equity – Agg
AFGD,American Financial,$21.96,0.1,0.457%,1843130404.0,United States,2020.0,16672,Finance,Property-Casualty Insurers,Small-cap,"High Risk, High Potential Return",Equity – Agg
